city,lat,lng
Tando Muhammad Khan,25.1239,68.5389
Shahdadpur,25.9228,68.6206
Jauharabad,32.2919,72.2736
Goth Tando Sumro,25.45,68.7167
Khushab,32.2986,72.3508
Dera Ismail Khan,31.8314,70.9019
Bagu Na Mohra,33.22,73.21
Chaman,30.9222,66.4447
Pishin,30.5848,66.9948
Charsadda,34.15,71.7333
Kandhkot,28.244,69.181
Gujar Khan,33.253,73.304
Bahrain,35.2075,72.5456
Kot Radha Kishan,31.1725,74.0997
Chishtian,29.8,72.8333
Renala Khurd,30.8833,73.6
Hasilpur,29.6917,72.5453
Uch Sharif,29.2333,71.0667
Kambar,27.9833,68.65
Attock Khurd,33.7667,72.3667
Harnai,30.1,67.9378
Muzaffarabad,34.3583,73.4722
Arifwala,30.2981,73.0561
Mianwali,32.5853,71.5436
Shabqadar,34.2054,71.5833
Nasatta,34.1022,71.7964
Jalalpur Jattan,32.6419,74.2033
Bhakkar,31.6278,71.0625
Chauk Azam,30.9648,71.217
Dipalpur,30.6708,73.6533
Kharian,32.8108,73.8647
Wadala Sandhuan,32.1833,74.4
Mian Channun,30.45,72.3667
Bhalwal,32.2656,72.8994
Ratodero,27.8,68.2833
Dera Allahyar,28.4167,68.1667
Kharan,28.5833,65.4167
Kathri,26.4583,68.3192
Jamshoro,25.4244,68.2811
Khewra,32.65,73.0167
Dinga,32.641,73.7243
Pattoki,31.0167,73.85
Harunabad,29.6097,73.1378
Usta Muhammad,28.1783,68.0431
Kahror Pakka,29.6236,71.9167
Toba Tek Singh,30.9711,72.4825
Sehwan,26.4193,67.8594
Mirpur Mathelo,28.0167,69.5333
Kahan,29.2982,68.9023
Sarai Alamgir,32.9,73.75
Samundri,31.0625,72.9542
Bat Khela,34.62,71.97
Shakargarh,32.2628,75.1583
Sakrand,26.1381,68.2731
Sambrial,32.16,74.4
Hala,25.81,68.43
Gwadar,25.1264,62.3225
Shujaabad,29.8792,71.3028
Hujra Shah Muqim,30.7333,73.8167
Kabirwala,30.2,70.43
Talamba,30.5255,72.2398
Rohri,27.6831,68.9
Mansehra,34.3339,73.2014
Lala Musa,32.7003,73.9578
Saidu Sharif,34.75,72.3572
Chunian,31.0167,73.85
Talagang,32.9278,72.4111
Kashmor,28.26,69.35
Nankana Sahib,31.45,73.7067
Phalia,32.4328,73.5778
Bannu,32.9864,70.6044
Faruka,31.8853,72.4153
Pasrur,32.2637,74.6628
Timargara,34.8278,71.8417
Dina,33.0283,73.6011
Rangewala,30.8222,74.2611
Chenab Nagar,31.7528,72.9222
Hadali,32.2922,72.1922
Pabbi,34.01,71.7975
Lalian,31.8253,72.8027
Liaquatpur,28.9353,70.9508
Matta,35.0931,72.3097
Abdul Hakim,30.55,72.1328
Kot Mumin,32.1883,73.0286
Hassan Abdal,33.8195,72.689
Chak Thirty-six North Branch,32.1261,72.7297
Rukan,32.4236,73.2722
Buni,36.2728,72.2597
Chak Sixty-one Gugera Branch,31.5875,73.6897
Chitral,35.8461,71.7858
Haripur,33.9942,72.9333
Nushki,29.5556,66.0217
Zhob,31.3417,69.4486
Badrashni,33.9886,72.025
Kanganpur,30.9489,73.7433
Tank,32.13,70.23
Mach,29.8669,67.3264
Kandiaro,27.0581,68.2078
Sukheke Mandi,31.8833,73.4667
Washuk,27.7231,64.8122
Jalalpur Bhattian,32.0644,73.377
Safdarabad,31.7167,73.5667
Safdarabad,31.7256,73.5771
Jalalabad,35.88,74.493
Choa Saidan Shah,32.7167,72.9833
Ranipur,27.2889,68.5044
Hangu,33.5333,71.0667
Charbagh,34.8333,72.4417
Kalu Khan,34.2167,72.3
Sujawal,24.6031,68.0792
Naushahro Firoz,26.85,68.1333
Sillanwali,31.825,72.5389
Allahabad,28.9333,70.9667
Uthal,25.8,66.6167
Risalpur Cantonment,34.0811,71.9725
Bandhi,26.5833,68.3
Surab,28.4925,66.2597
Karak,33.1167,71.1
Nawan Shahr,34.1642,73.2639
Kundian,32.4522,71.4718
Umarkot,25.3631,69.7425
Chakdarra,34.65,72.0333
Pasni,25.2652,63.4698
Sadda,33.7056,70.3292
Landi Kotal,34.1053,71.1553
Bagh,33.9735,73.7918
Ghuenke,32.4244,74.4603
Thal,33.3644,70.5478
Chak Five Hundred Seventy-five,31.55,73.8333
Masho Khel,33.9103,71.5025
Dulmial,32.7333,72.9167
Malak Abad,34.8,71.8
Makhdum Rashid,30,5
Pind Dadan Khan,32.5883,73.0447
Johi,26.6921,67.6133
Hajira,33.7717,73.8961
Ayun,35.7225,71.7669
Sabaur,32.8031,74.0614
Bhimbar,32.9747,74.0731
Atharan Hazari,31.1671,72.0898
Batgram,34.6833,73.0167
Arandu,35.3103,71.5486
Jaglot,35.685,74.6239
Wahga,31.6047,74.5731
Dainyor,35.9194,74.3889
Kulachi,31.9286,70.4592
Qazi Ahmad,26.4083,68.1564
Kalat,29.03,66.589
Idak,32.9741,70.1988
Phularwan,32.1883,73.0286
Kotli,33.5156,73.9019
Doaba,33.5333,70.7333
Murree,33.9042,73.3903
Akora,34.0006,72.1217
Bela,26.2267,66.3113
Mithi,24.74,69.8
Gahi Mammar,29.7375,71.9575
Tamman,33.6772,72.8558
Roulia,32.7972,74.0639
Gadani,25.1194,66.7319
Dadhar,29.47,67.65
Haji Shah,33.75,72.4
Baltit,36.333,74.666
Dhanot,29.5333,71.6333
Mian Sahib,28.1559,68.6397
Awan Patti,34.25,73.66
Sangota,34.7833,72.4167
Ghora Gali,33.8833,73.3833
Mankera,31.3833,71.4333
Shergarh,30.8281,73.7383
Sultanpur Mor,32.1883,73.0286
Nurkot,32.2017,75.1186
Abdul Khel,32.3997,70.9136
Saidpur,33.7421,73.0677
Hattian Bala,34.1691,73.7432
Firoza,28.75,70.8167
Miro Khan,27.7597,68.0917
Gakuch,36.1736,73.7667
Haider Khel,32.9449,70.296
Surmon Chogga Grong,35.1518,76.4454
Basla,33.3833,73.3167
Bunji,35.6422,74.6336
Ghota Fatehgarh,32.09,74.78
Jandola,32.3317,70.1228
Gilgit,35.9208,74.3083
Drazinda,31.7069,70.1352
Chak Thathi,30.3701,73.2215
